"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 13 15:43:08 GMT 2023","Mon Nov 13 15:43:08 GMT 2023","120","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
"passed","Wed Nov 08 07:05:32 GMT 2023","Wed Nov 08 07:06:11 GMT 2023","38387","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"skipped","Mon Nov 13 15:43:06 GMT 2023","Mon Nov 13 15:43:07 GMT 2023","1358","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"skipped","Mon Nov 13 15:43:07 GMT 2023","Mon Nov 13 15:43:08 GMT 2023","122","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
