"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 05:23:16 GMT 2023","Fri Nov 24 05:27:04 GMT 2023","228257","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"passed","Fri Nov 24 05:28:03 GMT 2023","Fri Nov 24 05:34:06 GMT 2023","362210","","","","","","Search for top 20 places -- @1.1 ",""
"passed","Fri Nov 24 05:34:06 GMT 2023","Fri Nov 24 05:35:52 GMT 2023","106001","","","","","","Search for top 20 places -- @1.2 ",""
"passed","Fri Nov 24 05:27:04 GMT 2023","Fri Nov 24 05:27:34 GMT 2023","29559","","","","","","Fetch company details and save to CSV -- @1.2 ",""
"passed","Fri Nov 24 05:27:34 GMT 2023","Fri Nov 24 05:28:03 GMT 2023","29599","","","","","","Fetch company details and save to CSV -- @1.3 ",""
"passed","Fri Nov 24 05:35:52 GMT 2023","Fri Nov 24 05:38:17 GMT 2023","145122","","","","","","Search for top 20 places -- @1.3 ",""
"broken","Fri Nov 24 05:21:03 GMT 2023","Fri Nov 24 05:22:10 GMT 2023","66077","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"broken","Fri Nov 24 05:22:10 GMT 2023","Fri Nov 24 05:23:16 GMT 2023","66514","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
