"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Nov 10 15:42:58 GMT 2023","Fri Nov 10 15:42:58 GMT 2023","238","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"skipped","Fri Nov 10 15:42:58 GMT 2023","Fri Nov 10 15:42:58 GMT 2023","142","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"passed","Wed Nov 08 07:05:32 GMT 2023","Wed Nov 08 07:06:11 GMT 2023","38387","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"skipped","Fri Nov 10 15:42:58 GMT 2023","Fri Nov 10 15:42:58 GMT 2023","149","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
