"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 07 09:26:06 GMT 2023","Tue Nov 07 09:27:19 GMT 2023","73389","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
"broken","Tue Nov 07 09:24:53 GMT 2023","Tue Nov 07 09:26:06 GMT 2023","73419","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"broken","Tue Nov 07 09:23:39 GMT 2023","Tue Nov 07 09:24:53 GMT 2023","73732","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
