"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 22 15:52:29 GMT 2023","Wed Nov 22 15:54:09 GMT 2023","99698","","","","","","Search for top 20 places -- @1.2 ",""
"broken","Wed Nov 22 15:43:45 GMT 2023","Wed Nov 22 15:44:22 GMT 2023","37050","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"passed","Wed Nov 22 15:44:22 GMT 2023","Wed Nov 22 15:44:51 GMT 2023","28986","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"passed","Wed Nov 22 15:45:20 GMT 2023","Wed Nov 22 15:45:48 GMT 2023","28764","","","","","","Fetch company details and save to CSV -- @1.3 ",""
"broken","Wed Nov 22 15:43:07 GMT 2023","Wed Nov 22 15:43:45 GMT 2023","37444","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"passed","Wed Nov 22 15:54:09 GMT 2023","Wed Nov 22 15:57:38 GMT 2023","209276","","","","","","Search for top 20 places -- @1.3 ",""
"passed","Wed Nov 22 15:44:51 GMT 2023","Wed Nov 22 15:45:20 GMT 2023","28633","","","","","","Fetch company details and save to CSV -- @1.2 ",""
"passed","Wed Nov 22 15:45:48 GMT 2023","Wed Nov 22 15:52:29 GMT 2023","401096","","","","","","Search for top 20 places -- @1.1 ",""
