"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 08 09:54:07 GMT 2023","Wed Nov 08 09:55:14 GMT 2023","66758","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"broken","Wed Nov 08 09:53:01 GMT 2023","Wed Nov 08 09:54:07 GMT 2023","66545","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"broken","Wed Nov 08 09:55:14 GMT 2023","Wed Nov 08 09:56:20 GMT 2023","66522","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
