"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 05:31:58 GMT 2023","Tue Nov 21 05:32:26 GMT 2023","28355","","","","","","Fetch company details and save to CSV -- @1.2 ",""
"passed","Tue Nov 21 05:28:13 GMT 2023","Tue Nov 21 05:31:58 GMT 2023","225030","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"broken","Tue Nov 21 05:26:28 GMT 2023","Tue Nov 21 05:27:05 GMT 2023","37042","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"passed","Tue Nov 21 05:32:55 GMT 2023","Tue Nov 21 05:38:37 GMT 2023","342177","","","","","","Search for top 20 places -- @1.1 ",""
"broken","Tue Nov 21 05:27:05 GMT 2023","Tue Nov 21 05:28:13 GMT 2023","67724","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"passed","Tue Nov 21 05:40:17 GMT 2023","Tue Nov 21 05:43:57 GMT 2023","220535","","","","","","Search for top 20 places -- @1.3 ",""
"passed","Tue Nov 21 05:38:37 GMT 2023","Tue Nov 21 05:40:17 GMT 2023","99486","","","","","","Search for top 20 places -- @1.2 ",""
"passed","Tue Nov 21 05:32:26 GMT 2023","Tue Nov 21 05:32:55 GMT 2023","28789","","","","","","Fetch company details and save to CSV -- @1.3 ",""
