"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 07 09:21:56 GMT 2023","Tue Nov 07 09:21:58 GMT 2023","2078","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"skipped","Tue Nov 07 09:21:58 GMT 2023","Tue Nov 07 09:21:58 GMT 2023","188","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
"skipped","Tue Nov 07 09:21:58 GMT 2023","Tue Nov 07 09:21:58 GMT 2023","176","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
