"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 09:11:00 GMT 2023","Tue Nov 07 09:11:44 GMT 2023","44444","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"broken","Tue Nov 07 09:10:00 GMT 2023","Tue Nov 07 09:11:00 GMT 2023","59882","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"broken","Tue Nov 07 09:11:44 GMT 2023","Tue Nov 07 09:12:08 GMT 2023","24405","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
