"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Dec 26 06:39:02 GMT 2023","Tue Dec 26 06:39:02 GMT 2023","109","","","","","","Fetch company details and save to CSV -- @1.3 ",""
"skipped","Tue Dec 26 06:39:02 GMT 2023","Tue Dec 26 06:39:02 GMT 2023","218","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"skipped","Tue Dec 26 06:39:02 GMT 2023","Tue Dec 26 06:39:02 GMT 2023","109","","","","","","Fetch company details and save to CSV -- @1.2 ",""
