"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Nov 24 04:23:15 GMT 2023","Fri Nov 24 04:23:15 GMT 2023","112","","","","","","Fetch company details and save to CSV -- @1.3 ",""
"skipped","Fri Nov 24 04:23:15 GMT 2023","Fri Nov 24 04:23:15 GMT 2023","108","","","","","","Search for top 20 places -- @1.3 ",""
"skipped","Fri Nov 24 04:23:15 GMT 2023","Fri Nov 24 04:23:15 GMT 2023","107","","","","","","Search for top 20 places -- @1.2 ",""
"skipped","Fri Nov 24 04:23:14 GMT 2023","Fri Nov 24 04:23:15 GMT 2023","107","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"skipped","Fri Nov 24 04:23:14 GMT 2023","Fri Nov 24 04:23:14 GMT 2023","108","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"skipped","Fri Nov 24 04:23:15 GMT 2023","Fri Nov 24 04:23:15 GMT 2023","106","","","","","","Search for top 20 places -- @1.1 ",""
"skipped","Fri Nov 24 04:23:13 GMT 2023","Fri Nov 24 04:23:14 GMT 2023","966","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"skipped","Fri Nov 24 04:23:15 GMT 2023","Fri Nov 24 04:23:15 GMT 2023","108","","","","","","Fetch company details and save to CSV -- @1.2 ",""
