"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 07 15:43:37 GMT 2024","Sun Jan 07 15:44:07 GMT 2024","29677","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"passed","Sun Jan 07 15:44:07 GMT 2024","Sun Jan 07 15:44:36 GMT 2024","29786","","","","","","Fetch company details and save to CSV -- @1.2 ",""
"broken","Sun Jan 07 15:42:36 GMT 2024","Sun Jan 07 15:43:37 GMT 2024","60405","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"broken","Sun Jan 07 15:41:27 GMT 2024","Sun Jan 07 15:42:36 GMT 2024","69139","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
