"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Nov 19 15:42:55 GMT 2023","Sun Nov 19 15:42:58 GMT 2023","3118","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"skipped","Sun Nov 19 15:42:58 GMT 2023","Sun Nov 19 15:42:58 GMT 2023","126","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"passed","Wed Nov 08 07:05:32 GMT 2023","Wed Nov 08 07:06:11 GMT 2023","38387","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"skipped","Sun Nov 19 15:42:58 GMT 2023","Sun Nov 19 15:42:58 GMT 2023","129","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
