"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 07:05:32 GMT 2023","Wed Nov 08 07:06:11 GMT 2023","38387","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"skipped","Sun Nov 12 15:43:32 GMT 2023","Sun Nov 12 15:43:33 GMT 2023","364","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"skipped","Sun Nov 12 15:43:33 GMT 2023","Sun Nov 12 15:43:33 GMT 2023","192","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"skipped","Sun Nov 12 15:43:33 GMT 2023","Sun Nov 12 15:43:33 GMT 2023","191","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
