"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 21 15:44:02 GMT 2023","Tue Nov 21 15:44:38 GMT 2023","36162","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"passed","Tue Nov 21 15:43:01 GMT 2023","Tue Nov 21 15:44:02 GMT 2023","61005","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"passed","Tue Nov 21 15:48:22 GMT 2023","Tue Nov 21 15:48:50 GMT 2023","28421","","","","","","Fetch company details and save to CSV -- @1.2 ",""
"passed","Tue Nov 21 15:49:19 GMT 2023","Tue Nov 21 15:55:06 GMT 2023","346922","","","","","","Search for top 20 places -- @1.1 ",""
"passed","Tue Nov 21 15:56:45 GMT 2023","Tue Nov 21 15:59:01 GMT 2023","135169","","","","","","Search for top 20 places -- @1.3 ",""
"passed","Tue Nov 21 15:44:38 GMT 2023","Tue Nov 21 15:48:22 GMT 2023","223875","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"passed","Tue Nov 21 15:48:50 GMT 2023","Tue Nov 21 15:49:19 GMT 2023","28499","","","","","","Fetch company details and save to CSV -- @1.3 ",""
"passed","Tue Nov 21 15:55:06 GMT 2023","Tue Nov 21 15:56:45 GMT 2023","99812","","","","","","Search for top 20 places -- @1.2 ",""
