"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 23 15:45:40 GMT 2023","Thu Nov 23 15:46:09 GMT 2023","28895","","","","","","Fetch company details and save to CSV -- @1.3 ",""
"passed","Thu Nov 23 15:45:11 GMT 2023","Thu Nov 23 15:45:40 GMT 2023","28905","","","","","","Fetch company details and save to CSV -- @1.2 ",""
"passed","Thu Nov 23 15:53:31 GMT 2023","Thu Nov 23 15:55:47 GMT 2023","135622","","","","","","Search for top 20 places -- @1.3 ",""
"broken","Thu Nov 23 15:42:54 GMT 2023","Thu Nov 23 15:43:32 GMT 2023","37393","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"passed","Thu Nov 23 15:46:09 GMT 2023","Thu Nov 23 15:51:49 GMT 2023","340187","","","","","","Search for top 20 places -- @1.1 ",""
"passed","Thu Nov 23 15:51:49 GMT 2023","Thu Nov 23 15:53:31 GMT 2023","101550","","","","","","Search for top 20 places -- @1.2 ",""
"passed","Thu Nov 23 15:44:09 GMT 2023","Thu Nov 23 15:45:11 GMT 2023","62699","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"broken","Thu Nov 23 15:43:32 GMT 2023","Thu Nov 23 15:44:09 GMT 2023","36776","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
