"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 21 05:24:30 GMT 2023","Tue Nov 21 05:24:30 GMT 2023","124","","","","","","Fetch company details and save to CSV -- @1.2 ",""
"skipped","Tue Nov 21 05:24:29 GMT 2023","Tue Nov 21 05:24:30 GMT 2023","646","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"skipped","Tue Nov 21 05:24:31 GMT 2023","Tue Nov 21 05:24:31 GMT 2023","121","","","","","","Search for top 20 places -- @1.3 ",""
"skipped","Tue Nov 21 05:24:30 GMT 2023","Tue Nov 21 05:24:30 GMT 2023","124","","","","","","Fetch company details and save to CSV -- @1.3 ",""
"skipped","Tue Nov 21 05:24:31 GMT 2023","Tue Nov 21 05:24:31 GMT 2023","122","","","","","","Search for top 20 places -- @1.2 ",""
"skipped","Tue Nov 21 05:24:30 GMT 2023","Tue Nov 21 05:24:31 GMT 2023","121","","","","","","Search for top 20 places -- @1.1 ",""
"skipped","Tue Nov 21 05:24:30 GMT 2023","Tue Nov 21 05:24:30 GMT 2023","123","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"skipped","Tue Nov 21 05:24:30 GMT 2023","Tue Nov 21 05:24:30 GMT 2023","122","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
