"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 09 15:45:01 GMT 2023","Thu Nov 09 15:46:11 GMT 2023","69359","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
"passed","Thu Nov 09 15:44:01 GMT 2023","Thu Nov 09 15:45:01 GMT 2023","60622","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"passed","Thu Nov 09 15:42:57 GMT 2023","Thu Nov 09 15:44:01 GMT 2023","63296","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
