"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 06:20:31 GMT 2023","Fri Nov 24 06:25:36 GMT 2023","304443","","","","","","Search for top 20 places -- @1.1 ",""
"passed","Fri Nov 24 06:25:36 GMT 2023","Fri Nov 24 06:27:21 GMT 2023","105424","","","","","","Search for top 20 places -- @1.2 ",""
"broken","Fri Nov 24 06:27:21 GMT 2023","Fri Nov 24 06:27:40 GMT 2023","18479","","","","","","Search for top 20 places -- @1.3 ",""
"passed","Fri Nov 24 06:19:01 GMT 2023","Fri Nov 24 06:19:31 GMT 2023","29995","","","","","","Fetch company details and save to CSV -- @1.1 ",""
"passed","Fri Nov 24 06:19:31 GMT 2023","Fri Nov 24 06:20:01 GMT 2023","30451","","","","","","Fetch company details and save to CSV -- @1.2 ",""
"broken","Fri Nov 24 06:17:00 GMT 2023","Fri Nov 24 06:18:01 GMT 2023","60675","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"passed","Fri Nov 24 06:20:01 GMT 2023","Fri Nov 24 06:20:31 GMT 2023","30200","","","","","","Fetch company details and save to CSV -- @1.3 ",""
"broken","Fri Nov 24 06:18:01 GMT 2023","Fri Nov 24 06:19:01 GMT 2023","59855","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
