"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Nov 18 15:42:55 GMT 2023","Sat Nov 18 15:42:55 GMT 2023","125","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
"skipped","Sat Nov 18 15:42:55 GMT 2023","Sat Nov 18 15:42:55 GMT 2023","125","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"skipped","Sat Nov 18 15:42:54 GMT 2023","Sat Nov 18 15:42:55 GMT 2023","206","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"passed","Wed Nov 08 07:05:32 GMT 2023","Wed Nov 08 07:06:11 GMT 2023","38387","","","","","","Fetch company details and save to CSV -- @1.1 ",""
