"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 07 09:16:46 GMT 2023","Tue Nov 07 09:17:45 GMT 2023","59461","","","","","","Search for laptops,add to cart and verify the total price -- @1.1 ",""
"passed","Tue Nov 07 09:17:45 GMT 2023","Tue Nov 07 09:18:32 GMT 2023","46514","","","","","","Search for laptops,add to cart and verify the total price -- @1.2 ",""
"broken","Tue Nov 07 09:18:32 GMT 2023","Tue Nov 07 09:19:29 GMT 2023","56892","","","","","","Search for laptops,add to cart and verify the total price -- @1.3 ",""
